member_id,snack_id,rating
1,1,3.82
1,2,3.27
1,3,2.44
1,4,3.27
1,5,3.34
1,6,3.5
1,7,3.72
1,8,1.95
1,9,2.07
1,10,3.4
1,11,3.61
1,12,1.99
1,13,3.69
1,14,3.66
1,15,1.89
1,16,3.06
1,17,2.93
1,18,2.7
1,19,3.85
1,20,2.87
1,21,1.89
1,22,3.58
1,23,3.45
1,24,1.16
1,25,3.4
1,26,4.05
1,27,1.89
1,28,3.01
1,29,3.45
1,30,3.21
1,31,3.87
1,32,1.83
1,33,1.89
1,34,3.52
1,35,3.17
1,36,2.11
1,37,3.58
1,38,3.47
1,39,1.66
1,40,3.53
1,41,3.34
1,42,4.25
1,43,3.71
1,44,1.89
1,45,1.66
1,46,3.94
1,47,3.55
1,48,1.83
1,49,3.25
1,50,3.66
1,51,2.13
1,52,3.11
1,53,2.69
1,54,1.79
1,55,3.44
1,56,3.83
1,57,3.23
1,58,3.0
1,59,3.05
1,60,1.48
1,61,3.87
1,62,1.18
1,63,2.38
1,64,3.85
1,65,3.29
1,66,3.81
1,67,3.51
1,68,2.39
1,69,1.95
1,70,3.49
1,71,3.34
1,72,1.4
1,73,3.48
1,74,3.48
1,75,1.95
1,76,3.85
1,77,2.81
1,78,4.12
1,79,3.59
1,80,2.11
1,81,1.83
1,82,3.77
1,83,3.29
1,84,2.7
1,85,3.37
1,86,2.36
1,87,1.89
1,88,3.78
1,410,3.84
1,411,2.69
1,412,2.22
1,413,3.36
1,414,2.89
1,415,2.13
1,416,3.53
1,417,2.62
1,418,1.24
1,419,3.52
1,420,3.31
1,421,2.01
1,422,3.37
1,423,3.29
1,424,1.09
1,425,3.79
1,426,2.66
1,427,1.89
1,428,3.71
1,429,3.23
1,430,1.75
1,431,3.65
1,432,3.25
1,433,3.17
1,434,3.48
1,435,3.5
1,436,3.07
1,437,3.52
1,438,4.06
1,439,1.77
1,440,3.68
1,441,3.45
1,442,1.14
1,443,3.77
1,444,4.23
1,445,1.77
1,446,3.43
1,447,3.45
1,448,2.85
1,449,3.81
1,450,1.89
1,451,1.71
1,452,3.86
1,453,2.56
1,454,3.58
1,455,3.42
1,456,2.66
1,457,1.66
1,458,3.63
1,459,2.87
1,460,3.27
1,461,3.96
1,462,1.58
1,463,2.31
1,464,3.5
1,465,3.55
1,466,2.38
1,467,3.37
1,468,3.58
1,469,1.95
1,470,3.14
1,471,2.93
1,472,2.63
1,473,3.74
1,474,1.93
1,475,2.5
1,476,3.53
1,477,3.4
1,478,3.11
1,479,3.82
1,480,3.8
1,481,1.77
1,482,3.67
1,483,2.69
1,484,3.89
1,485,3.71
1,486,3.64
1,487,2.93
1,488,3.31
1,489,3.29
1,490,2.25
1,491,3.76
2,270,3.62
2,271,4.16
2,272,3.29
2,273,2.19
2,274,1.42
2,275,3.56
2,276,2.99
2,277,1.79
2,278,1.45
2,279,1.55
2,280,2.89
2,281,1.5
2,282,1.5
2,283,3.63
2,284,1.55
2,285,3.31
2,286,2.39
2,287,1.45
2,288,1.5
2,289,1.36
2,290,3.6
2,291,1.39
2,292,1.25
2,293,1.5
2,294,1.55
2,295,3.8
2,296,1.45
2,297,1.39
2,298,2.46
2,299,1.55
2,300,3.82
2,301,4.07
2,302,1.5
2,303,1.39
2,304,1.5
2,305,3.08
2,306,1.45
2,307,3.89
2,308,1.39
2,309,1.39
2,310,3.32
2,311,1.39
2,312,1.45
2,313,3.27
2,314,1.39
2,315,3.51
2,316,1.25
2,317,1.45
2,318,1.39
2,319,3.7
2,320,3.84
2,321,1.45
2,322,2.54
2,323,1.55
2,324,1.5
2,325,3.54
2,326,1.39
2,327,1.45
2,328,2.24
2,329,1.45
2,330,3.62
2,331,2.11
2,332,1.45
2,333,1.5
2,334,1.68
2,335,3.19
2,336,1.45
2,337,3.66
2,338,1.39
2,339,1.45
2,340,3.33
2,341,1.55
2,342,1.39
2,343,2.97
2,344,1.55
2,345,3.67
2,346,2.78
2,347,1.55
2,348,1.45
2,349,2.91
2,350,3.96
2,351,1.55
2,352,3.89
2,353,1.5
2,354,1.39
2,355,3.06
2,356,1.45
2,357,1.39
2,358,1.21
2,359,1.55
2,360,3.92
2,361,2.78
2,362,1.45
2,363,1.55
2,364,1.52
2,365,3.28
2,366,1.39
2,367,3.5
2,368,1.45
2,369,1.39
2,370,3.45
2,371,1.5
2,372,1.45
2,373,2.06
2,374,1.45
2,375,3.12
2,376,1.21
2,377,1.39
2,378,1.55
2,379,2.97
2,380,3.67
2,381,1.45
2,382,2.89
2,383,1.45
2,384,1.45
2,385,3.63
2,386,1.45
2,387,1.39
2,388,1.34
2,389,1.45
2,390,4.04
2,391,2.91
2,392,1.45
2,393,1.55
2,394,2.46
2,395,3.21
3,183,3.2
3,184,1.45
3,185,4.04
3,186,1.45
3,187,3.08
3,188,1.55
3,189,3.21
3,190,1.5
3,191,3.23
3,192,1.5
3,193,3.85
3,194,1.39
3,195,3.52
3,196,1.55
3,197,3.82
3,198,1.39
3,199,3.42
3,200,1.45
3,201,3.81
3,202,1.45
3,203,3.56
3,204,1.39
3,205,3.6
3,206,1.55
3,207,3.82
3,208,1.39
3,209,3.15
3,210,1.39
3,211,3.56
3,212,1.5
3,213,3.54
3,214,1.39
3,215,3.15
3,216,1.45
3,217,3.78
3,218,1.45
3,219,3.78
3,220,1.5
3,221,3.92
3,222,1.45
3,223,3.66
3,224,1.39
3,225,3.33
3,531,3.63
3,532,3.74
3,533,3.46
3,534,3.84
3,535,3.86
3,536,3.57
4,3,1.34
4,4,3.58
4,5,1.39
4,6,3.42
4,7,1.45
4,8,3.82
4,9,3.65
4,10,3.94
4,11,1.45
4,12,3.06
4,13,1.39
4,14,3.26
4,15,3.36
4,16,3.65
4,17,1.39
4,18,3.21
4,19,1.5
4,20,3.56
4,21,2.97
4,22,3.44
4,23,1.5
4,24,3.42
4,25,1.45
4,26,3.97
4,27,3.58
4,28,3.7
4,29,1.5
4,30,3.68
4,31,1.55
4,32,4.12
4,33,3.32
4,34,3.38
4,35,1.5
4,36,3.32
4,37,1.45
4,38,3.85
4,39,4.06
4,40,3.56
4,41,1.5
4,42,3.72
4,43,1.5
4,44,3.64
4,45,2.89
4,46,3.12
4,47,1.39
4,48,3.06
4,49,1.5
4,50,3.99
4,51,2.74
4,52,3.66
4,53,1.45
4,54,3.66
4,55,1.55
4,56,3.93
4,57,4.16
4,58,3.54
4,59,1.39
4,60,3.84
4,61,1.5
4,62,3.42
4,63,4.08
4,64,3.21
4,65,1.45
4,66,3.07
4,67,1.55
4,68,3.88
4,69,2.99
4,70,3.15
4,71,1.45
4,72,3.71
4,73,1.55
4,74,3.51
4,75,3.75
4,76,3.25
4,77,1.39
4,78,3.64
4,79,1.55
4,80,3.62
4,81,1.36
4,82,3.86
4,83,1.55
4,84,3.57
4,85,1.5
4,86,3.36
4,87,3.84
4,88,3.69
4,89,1.45
4,90,2.84
4,91,1.55
4,92,3.35
4,93,2.74
4,94,3.54
4,95,1.5
4,96,3.08
4,97,1.45
4,98,4.02
4,99,4.19
4,100,3.38
4,101,1.39
4,102,3.06
4,103,1.39
4,104,3.23
4,105,4.15
4,106,4.0
4,107,1.45
4,108,3.39
4,109,1.55
4,110,3.67
4,111,2.34
4,112,3.89
4,113,1.55
4,114,3.58
4,115,1.5
4,116,3.49
5,543,3.23
5,544,2.3
5,545,1.5
5,546,1.55
5,547,3.79
5,548,4.03
5,549,1.55
5,550,2.2
5,551,1.5
5,552,1.45
5,553,3.19
5,554,1.5
5,555,1.5
5,556,2.32
5,557,1.45
5,558,3.13
5,559,3.89
5,560,1.39
5,561,1.45
5,562,3.59
5,563,3.3
5,564,1.55
5,565,3.44
5,566,1.5
5,567,1.39
5,568,3.13
5,569,1.39
5,570,1.45
5,571,3.15
5,572,1.5
5,573,3.71
5,574,2.28
5,575,1.5
5,576,1.5
5,577,3.13
5,578,3.42
5,579,1.5
5,580,1.09
5,581,1.55
5,582,1.5
5,583,3.25
5,584,1.55
5,585,1.39
5,586,1.53
5,587,1.5
5,588,4.07
5,589,3.48
5,590,1.5
5,591,1.5
5,592,1.99
5,593,3.92
5,594,1.5
5,595,3.67
5,596,1.5
5,597,1.5
5,598,2.86
5,599,1.55
5,600,1.5
5,601,4.12
5,602,1.55
5,603,3.24
5,604,2.3
5,605,1.45
5,606,1.45
5,607,3.48
5,608,3.47
5,609,1.5
5,610,1.66
5,611,1.5
5,612,1.39
5,613,3.39
5,614,1.5
5,615,1.5
5,616,1.44
5,617,1.45
5,618,4.02
5,619,4.19
5,620,1.55
5,621,1.39
5,622,3.21
5,623,3.09
5,624,1.45
5,625,3.63
5,626,1.5
5,627,1.55
5,628,3.54
5,629,1.5
5,630,1.39
5,631,3.97
5,632,1.45
5,633,3.49
5,634,1.34
5,635,1.39
5,636,1.55
5,637,4.07
5,638,3.45
5,639,1.45
5,640,1.66
5,641,1.55
5,642,1.45
5,643,3.91
5,644,1.45
5,645,1.5
5,646,1.3
5,647,1.55
5,648,3.4
5,649,3.4
5,650,1.39
5,651,1.45
5,652,2.18
5,653,3.3
5,654,1.39
5,655,3.05
5,656,1.5
5,657,1.45
5,658,3.18
5,659,1.55
5,660,1.39
5,661,4.01
5,662,1.5
5,663,3.56
5,664,1.32
5,665,1.45
5,666,1.45
5,667,2.76
5,668,3.88
5,669,1.45
5,670,2.42
5,671,1.45
5,672,1.55
5,673,3.62
5,674,1.5
5,675,1.55
5,676,1.44
5,677,1.39
5,678,3.7
5,679,3.03
5,680,1.55
5,681,1.5
5,682,3.88
5,683,3.19
5,684,1.55
5,685,3.52
5,686,1.39
5,687,1.39
5,688,3.5
5,689,1.55
5,690,1.45
5,691,3.93
5,692,1.5
5,693,3.13
5,694,2.16
5,695,1.45
5,696,1.39
5,697,3.49
5,698,3.4
5,699,1.55
5,700,1.85
5,701,1.5
5,702,1.55
5,703,3.64
5,704,1.5
5,705,1.5
5,706,2.36
5,707,1.39
5,708,3.63
5,709,4.12
5,710,1.55
5,711,1.5
5,712,1.45
5,713,3.33
5,714,1.55
5,715,4.08
5,716,1.5
5,717,1.45
5,718,3.55
5,719,1.45
5,720,1.39
5,721,3.23
5,722,1.55
5,723,3.75
5,724,1.4
5,725,1.39
5,726,1.55
5,727,1.45
5,728,3.79
6,542,2.97
6,543,3.24
6,544,1.39
6,545,1.5
6,546,3.79
6,547,3.65
6,548,1.45
6,549,4.3
6,550,1.39
6,551,1.45
6,552,2.89
6,553,1.45
6,554,1.45
6,555,4.05
6,556,1.45
6,557,3.29
6,558,2.03
6,559,1.5
6,560,1.39
6,561,3.4
6,562,3.45
6,563,1.39
6,564,1.58
6,565,1.5
6,566,1.45
6,567,3.06
6,568,1.55
6,569,1.55
6,570,1.52
6,571,1.39
6,572,3.44
6,573,4.02
6,574,1.55
6,575,1.39
6,576,2.48
6,577,3.16
6,578,1.5
6,579,3.58
6,580,1.39
6,581,1.55
6,582,3.46
6,583,1.39
6,584,1.55
6,585,3.36
6,586,1.45
6,587,3.58
6,588,4.12
6,589,1.39
6,590,1.39
6,591,3.01
6,592,3.09
6,593,1.55
6,594,1.16
6,595,1.39
6,596,1.39
6,597,3.24
6,598,1.55
6,599,1.5
6,600,1.91
6,601,1.45
6,602,3.56
6,603,1.55
6,604,1.39
6,605,1.45
6,606,1.3
6,607,3.27
6,608,1.39
6,609,4.18
6,610,1.55
6,611,1.45
6,612,3.61
6,613,1.45
6,614,1.5
6,615,3.5
6,616,1.5
6,617,3.44
6,618,2.78
6,619,1.55
6,620,1.39
6,621,3.34
6,622,3.41
6,623,1.5
6,624,2.78
6,625,1.39
6,626,1.45
6,627,3.74
6,628,1.5
6,629,1.39
6,630,1.05
6,631,1.39
6,632,3.78
6,633,1.42
6,634,1.5
6,635,1.39
6,636,1.89
6,637,3.5
6,638,1.45
6,639,2.99
6,640,1.39
6,641,1.5
6,642,3.12
6,643,1.55
6,644,1.5
6,645,3.7
6,646,1.55
6,647,3.06
6,648,1.01
6,649,1.55
6,650,1.5
6,651,2.8
6,652,3.81
6,653,1.55
6,654,4.07
6,655,1.45
6,656,1.39
6,657,3.15
6,658,1.45
6,659,1.45
6,660,2.4
6,661,1.55
6,662,3.55
6,663,3.28
6,664,1.5
6,665,1.39
6,666,2.43
6,667,3.49
6,668,1.5
6,669,2.28
6,670,1.45
6,671,1.5
6,672,3.29
6,673,1.55
6,674,1.55
6,675,3.5
6,676,1.45
6,677,3.25
6,678,3.15
6,679,1.55
6,680,1.45
6,681,2.89
6,682,3.89
6,683,1.45
6,684,3.64
6,685,1.39
6,686,1.5
6,687,3.66
6,688,1.5
6,689,1.5
6,690,2.89
6,691,1.45
6,692,3.64
6,693,1.48
6,694,1.39
6,695,1.39
6,696,3.49
6,697,3.39
6,698,1.5
6,699,1.93
6,700,1.55
6,701,1.45
6,702,3.31
6,703,1.5
6,704,1.45
6,705,2.28
6,706,1.39
6,707,3.12
6,708,3.5
6,709,1.5
6,710,1.55
6,711,2.28
6,712,3.96
6,713,1.45
6,714,3.26
6,715,1.5
6,716,1.55
6,717,3.37
6,718,1.45
6,719,1.5
6,720,3.52
6,721,1.45
6,722,3.41
6,723,3.77
6,726,3.83
6,727,3.15
7,1,3.54
7,2,1.55
7,3,3.4
7,4,3.95
7,5,1.57
7,6,1.5
7,7,3.34
7,8,1.39
7,9,0.97
7,10,3.82
7,11,3.57
7,12,1.45
7,13,3.23
7,14,1.45
7,15,4.01
7,16,4.08
7,17,2.66
7,18,1.5
7,19,3.09
7,20,1.45
7,21,2.78
7,22,3.72
7,23,1.58
7,24,1.39
7,25,3.28
7,26,1.39
7,27,1.16
7,28,3.86
7,29,3.71
7,30,1.45
7,31,3.84
7,32,1.5
7,33,3.89
7,34,3.78
7,35,1.71
7,36,1.55
7,37,3.69
7,38,1.5
7,39,3.48
7,40,3.46
7,41,1.54
7,42,1.55
7,43,3.48
7,44,1.39
7,45,2.48
7,46,3.78
7,47,2.89
7,48,1.39
7,49,3.31
7,50,1.5
7,51,3.91
7,52,4.03
7,53,1.64
7,54,1.5
7,55,3.22
7,56,1.45
7,57,3.91
7,58,3.77
7,59,1.32
7,60,1.5
7,61,3.51
7,62,1.45
7,63,2.48
7,64,4.0
7,65,3.49
7,66,1.45
7,67,3.28
7,68,1.5
7,69,4.25
7,70,4.11
7,71,1.5
7,72,1.55
7,73,3.65
7,74,1.39
7,75,3.26
7,76,3.86
7,77,2.34
7,78,1.55
7,79,3.18
7,80,1.45
7,81,2.13
7,82,3.32
7,83,3.5
7,84,1.39
7,85,3.09
7,86,1.5
7,87,1.5
7,88,3.81
7,410,4.02
7,411,1.45
7,412,3.85
7,413,2.72
7,414,1.48
7,415,1.45
7,416,4.44
7,417,1.39
7,418,1.46
7,419,3.52
7,420,3.17
7,421,1.55
7,422,3.63
7,423,1.55
7,424,3.31
7,425,3.81
7,426,2.82
7,427,1.45
7,428,3.48
7,429,1.45
7,430,3.15
7,431,3.56
7,432,2.5
7,433,1.39
7,434,4.53
7,435,1.39
7,436,3.17
7,437,2.71
7,438,2.74
7,439,1.55
7,440,4.46
7,441,1.45
7,442,1.38
7,443,2.99
7,444,3.52
7,445,1.5
7,446,3.6
7,447,1.5
7,448,3.55
7,449,2.84
7,450,1.91
7,451,1.45
7,452,4.23
7,453,1.55
7,454,3.01
7,455,3.23
7,456,2.2
7,457,1.39
7,458,4.34
7,459,1.45
7,460,1.36
7,461,3.83
7,462,4.21
7,464,3.16
8,270,3.1
8,271,1.39
8,272,1.55
8,273,1.09
8,274,1.45
8,275,3.58
8,276,4.06
8,277,1.5
8,278,1.55
8,279,1.18
8,280,3.38
8,281,1.45
8,282,3.98
8,283,1.45
8,284,1.5
8,285,3.48
8,286,1.39
8,287,1.39
8,288,3.83
8,289,1.55
8,290,3.27
8,291,1.07
8,292,1.39
8,293,1.5
8,294,3.98
8,295,3.75
8,296,1.55
8,297,2.24
8,298,1.5
8,299,1.55
8,300,3.43
8,301,1.39
8,302,1.45
8,303,2.32
8,304,1.5
8,305,3.87
8,306,3.34
8,307,1.39
8,308,1.39
8,309,1.16
8,310,3.07
8,311,1.39
8,312,3.69
8,313,1.5
8,314,1.39
8,315,3.18
8,316,1.55
8,317,1.5
8,318,2.64
8,319,1.5
8,320,3.14
8,321,1.32
8,322,1.5
8,323,1.39
8,324,1.74
8,325,3.95
8,326,1.55
8,327,1.01
8,328,1.5
8,329,1.45
8,330,3.87
8,331,1.45
8,332,1.39
8,333,1.77
8,334,1.55
8,335,3.5
8,336,3.7
8,337,1.55
8,338,1.5
8,339,2.5
8,340,3.2
8,341,1.39
8,342,3.87
8,343,1.5
8,344,1.55
8,345,3.28
8,346,1.45
8,347,1.45
8,348,3.32
8,349,1.45
8,350,3.24
8,351,2.46
8,352,1.5
8,353,1.45
8,354,3.07
8,355,3.51
8,356,1.55
8,357,1.54
8,358,1.45
8,359,1.39
8,360,3.98
8,361,1.55
8,362,1.55
8,363,1.46
8,364,1.55
8,365,3.76
8,366,3.54
8,367,1.5
8,368,1.45
8,369,1.87
8,370,3.57
8,371,1.39
8,372,3.71
8,373,1.39
8,374,1.55
8,375,2.79
8,376,1.55
8,377,1.55
8,378,1.57
8,379,1.55
8,380,3.15
8,381,1.2
8,382,1.39
8,383,1.39
8,384,3.21
8,385,3.47
8,386,1.39
8,387,1.3
8,388,1.55
8,389,1.45
8,390,3.58
8,391,1.5
8,392,1.45
8,393,2.72
8,394,1.45
8,395,3.48
